BR	ts	chi2	CLs	CLb	CLsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
0.001	-0.00927699095982	0.0	0.999619415479	0.987954	0.987578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.101	-0.878386598971	0.0	0.995464007711	0.987656	0.983176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.201	-1.64544404283	0.0	0.989539990403	0.987762	0.97743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.301	-2.32692959631	0.0	0.982129557671	0.988224	0.970564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.401	-2.93518169687	0.0	0.973515213072	0.988492	0.962312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.501	-3.47974165556	0.0	0.963352904627	0.988182	0.951968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.601	-3.96818139203	0.0	0.951277843761	0.988462	0.940302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.701	-4.40663868613	0.0	0.937813466701	0.988542	0.927068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.801	-4.80017745338	0.0	0.921588067239	0.988472	0.910964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.901	-5.15303845961	0.0	0.903841796021	0.988496	0.893444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.001	-5.4688187762	0.0	0.883530968188	0.988692	0.87354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.101	-5.75060336853	0.0	0.862595605147	0.988702	0.85285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.201	-6.00106362685	0.0	0.840163561282	0.988498	0.8305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.301	-6.22253250941	0.0	0.813856177411	0.98844	0.804448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.401	-6.41706278454	0.0	0.785470543616	0.98875	0.776634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
