BR	ts	chi2	CLs	CLb	CLsb	CLs_exp_b_med	CLs_exp_b_p1	CLs_exp_b_p2	CLs_exp_b_m1	CLs_exp_b_m2	CLb_exp_s_med	CLb_exp_s_p1	CLb_exp_s_p2	CLb_exp_s_m1	CLb_exp_s_m2
0.2	-0.433375284577	0.0	0.956712658538	0.89726	0.85842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.5	-0.812257907924	0.0	0.879786246405	0.88326	0.77708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8	-0.97990898644	0.0	0.792873051225	0.87106	0.69064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1	-1.0025802644	0.0	0.692583842876	0.86352	0.59806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.4	-0.917591395556	0.0	0.594924215721	0.8511	0.50634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.7	-0.74846098459	0.0	0.498650376474	0.84468	0.4212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	-0.511155613237	0.0	0.420262843489	0.837	0.35176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.3	-0.217106264473	0.0	0.347919690373	0.8268	0.28766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.6	0.125169844647	0.0	0.2800477839	0.82036	0.22974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.9	0.509125422728	0.0	0.224586984805	0.81474	0.18298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.2	0.929599495945	0.0	0.17798919776	0.80724	0.14368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.5	1.38243881559	0.0	0.139088549466	0.80136	0.11146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.8	1.86424251455	0.0	0.109997991363	0.79656	0.08762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1	2.37218424543	0.0	0.0836377473364	0.7884	0.06594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.4	2.90388487495	0.0	0.0647436385316	0.78834	0.05104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.7	3.45731922052	0.0	0.0484131667394	0.77954	0.03774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0	4.03074633626	0.0	0.0375167370481	0.77672	0.02914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.3	4.62265647553	0.0	0.0291021671827	0.7752	0.02256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.6	5.23173010774	0.0	0.0212649376402	0.76652	0.0163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.9	5.85680580787	0.0	0.0153664921466	0.764	0.01174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.2	6.49685478313	0.0	0.0130198058865	0.76038	0.0099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.5	7.15096043712	0.0	0.00885779645688	0.75188	0.00666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.8	7.81830180768	0.0	0.00708464283812	0.75092	0.00532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.1	8.49814001913	0.0	0.0049211018989	0.7478	0.00368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.4	9.18980710575	0.0	0.00382852520895	0.7418	0.00284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.7	9.89269671925	0.0	0.00298014142126	0.73822	0.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	10.6062563467	0.0	0.00211801124175	0.73654	0.00156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.3	11.32998075	0.0	0.00136570975936	0.73222	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.6	12.0634064002	0.0	0.000850340136054	0.72912	0.00062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
